chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,pair
Ni-Pt-O,Ni,Pt,O,NiPtO3_1186112_POSCAR,35,global_gradient_fallback,3.95444,-0.07373638258922,-0.06233347564779,-0.0114029069414299,3.163552,9.688378,0.01055918,mp-1186112,NiPtO3,Cubic,Pm-3m,221,1.242403566999998,0.199207573,False,0.0,True,8.10360470965608,5,61.83793399368838,12.367586798737676,22.135946674927613,0.3579671125039036,35.79671125039036,Ni-Pt
Ni-Rh-O,Ni,Rh,O,Ni_RhO2_2_19307_POSCAR,35,local_max_drop,6.8862304982,-0.14408050026049,-0.0824282050200604,-0.0616522952404295,6.091665,12.977896,0.01218614,mp-19307,Ni(RhO2)2,Cubic,Fd-3m,227,0.177802259642857,-0.953835865714285,False,0.0,True,6.831109425787599,14,159.7077051026974,11.407693221621242,73.58183021207311,0.4607281168103789,46.0728116810379,Ni-Rh
Ni-Ta-S,Ni,Ta,S,Ta2Ni3S8_562537_POSCAR,35,local_max_drop,4.8260486735,-0.16698261899272,-0.1024674966279392,-0.0645151223647807,4.326802,8.154358,0.02470669,mp-562537,Ta2Ni3S8,Orthorhombic,Pbam,55,0.0,-1.044846476512819,True,0.5263999999999991,False,5.41565829197161,26,487.2137452954304,18.7389902036704,207.82156488997936,0.4265511121078146,42.65511121078146,Ni-Ta
Ni-Ti-O,Ni,Ti,O,TiNiO3_690546_POSCAR,35,local_max_drop,7.2684663272,-0.22399374749633,-0.1430458276888409,-0.080947919807489,7.01783,12.281202,0.02389482,mp-690546,TiNiO3,Triclinic,P1,1,0.018407698333332,-2.578309968333334,False,2.2715,False,5.123835266835122,30,300.53728884313404,10.017909628104468,172.53908340216887,0.5741020825280219,57.410208252802185,Ni-Ti
Ni-Ti-S,Ni,Ti,S,Ti3NiS6_13994_POSCAR,35,local_max_drop,8.254756006,-0.15679272675445,-0.0942977343363093,-0.0624949924181406,7.959943,14.445823,0.01263724,mp-13994,Ti3NiS6,Trigonal,P-31c,163,0.000151965499998,-1.493799035999995,False,0.0,True,3.823564633024203,20,342.8156329713109,17.140781648565543,177.10518307344168,0.5166193313251354,51.66193313251354,Ni-Ti
Ni-V-O,Ni,V,O,V2NiO6_1100939_POSCAR,35,local_max_drop,7.5619748704,-0.2922562944658,-0.1914207421891416,-0.1008355522766583,7.074106,11.952799,0.03303232,mp-1100939,V2NiO6,Triclinic,P1,1,0.053077247098766,-2.062145547901234,False,1.616299999999999,False,4.189994427378709,81,915.1426060443551,11.298056864745126,406.9526383645079,0.4446876756438369,44.4687675643837,Ni-V
Ni-Y-O,Ni,Y,O,Y_NiO2_2_1045534_POSCAR,35,global_gradient_fallback,6.6335458853,-0.065867321311506,-0.0647594785357193,-0.0011078427757866,6.357148,13.54349,0.00807089,mp-1045534,Y(NiO2)2,Orthorhombic,Imma,74,0.234329977767854,-1.875154357857142,False,0.0,True,5.220019532886069,14,171.96392315740687,12.283137368386203,99.04169920062448,0.5759446364221804,57.59446364221804,Ni-Y
Ni-Zn-O,Ni,Zn,O,Zn_NiO2_4_1048812_POSCAR,35,global_gradient_fallback,6.6255403851,-0.063088105477609,-0.0515271555559308,-0.0115609499216781,6.360519,12.986059,0.00690962,mp-1048812,Zn(NiO2)4,Monoclinic,Cm,8,0.19841769205128,-0.839796146923076,False,0.0,True,5.180257130290529,13,137.2530254092931,10.557925031484084,49.186081487145664,0.3583606360622735,35.83606360622736,Ni-Zn
Ni-Zr-O,Ni,Zr,O,ZrNi4O_1206021_POSCAR,35,local_max_drop,5.7012045264,-0.11743781921812,-0.0416001913891996,-0.0758376278289203,5.090361,9.977108,0.00690034,mp-1206021,ZrNi4O,Cubic,F-43m,216,2.201316125416666,1.0876719125,False,0.0,True,7.724360438594108,6,73.52056972898372,12.253428288163953,55.599349674134906,0.7562420949550422,75.62420949550422,Ni-Zr
Pd-Rh-S,Pd,Rh,S,Pd2_RhS_15_1202732_POSCAR,35,local_max_drop,13.593717783,-0.7081355142747,-0.4619271892474979,-0.246208325027202,12.083305,24.67008,0.03675523,mp-1202732,Pd2(RhS)15,Cubic,Pm-3m,221,0.031831381317932,-0.497997733949418,False,0.0,True,7.277945498412295,64,1020.97108506066,15.952673204072813,550.2808079049006,0.5389778574113157,53.89778574113157,Pd-Rh
