chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
Ti-V-S,2,S,0.7224309851661594,0.7304739183003006,0.7385168514344419,0.016085866268282456,14.50967845273595,-0.0595447188123604,-0.0561914259351875,-0.0528381330580146,-0.9999999999999998,-0.41692412721158617
Cd-Tc-O,1,O,0.49256890864338737,0.49256890864338737,0.49256890864338737,0.0,11.94806644443632,-0.0592515502655428,-0.0592515502655428,-0.0592515502655428,,
Co-Rh-S,1,S,0.48544046541254726,0.48544046541254726,0.48544046541254726,0.0,14.276826967588235,-0.0578836342060069,-0.0578836342060069,-0.0578836342060069,,
Co-Cr-O,5,O,0.32881940638704626,0.3391239279510486,0.3794951007711975,0.05067569438415126,11.42072304162102,-0.0576742606668846,-0.01918687574961158,-0.0063119143209073,-0.9207980942748222,-0.9853959681588049
Fe-Ti-S,1,S,0.509964667191309,0.509964667191309,0.509964667191309,0.0,17.687544419071386,-0.0553530618622368,-0.0553530618622368,-0.0553530618622368,,
Cd-Mn-S,2,S,0.44318038326921805,0.4501857813789767,0.4571911794887353,0.01401079621951723,18.16376352230313,-0.0411331133812255,-0.02192908468185755,-0.0027250559824896,-1.0,-2.7413186800356852
Mo-V-O,1,O,0.5981435775433601,0.5981435775433601,0.5981435775433601,0.0,11.290191308917768,-0.0260538026869615,-0.0260538026869615,-0.0260538026869615,,
Fe-Mn-S,2,S,0.4840803927510534,0.4887269668474263,0.49337354094379915,0.009293148192745737,16.140798216998164,-0.0244803560012959,-0.01790363950413005,-0.0113269230069642,1.0,1.415390427605535
V-W-O,1,O,0.5771907005550784,0.5771907005550784,0.5771907005550784,0.0,10.595240912715958,-0.0242898217481393,-0.0242898217481393,-0.0242898217481393,,
Co-Mn-S,2,S,0.49100341691840976,0.5495929225609462,0.6081824282034825,0.11717901128507269,14.612346493784344,-0.0219550877671736,-0.019178172623539352,-0.0164012574799051,0.9999999999999998,0.0473961183522633
Cd-Cr-O,1,O,0.4952384282133839,0.4952384282133839,0.4952384282133839,0.0,11.487595555410085,-0.0208637008601896,-0.0208637008601896,-0.0208637008601896,,
Fe-Hf-O,1,O,0.6057757572617218,0.6057757572617218,0.6057757572617218,0.0,11.78527261671935,-0.0180207291971075,-0.0180207291971075,-0.0180207291971075,,
Hg-Mn-O,1,O,0.4295259552671153,0.4295259552671153,0.4295259552671153,0.0,12.289333595877808,-0.016828365974141,-0.016828365974141,-0.016828365974141,,
Cr-Tc-O,1,O,0.47756406847999544,0.47756406847999544,0.47756406847999544,0.0,11.796559303327331,-0.01521594828682,-0.01521594828682,-0.01521594828682,,
Fe-Rh-O,1,O,0.47103156111609185,0.47103156111609185,0.47103156111609185,0.0,10.717149137074276,-0.0127568841336949,-0.0127568841336949,-0.0127568841336949,,
Cd-Ni-O,1,O,0.43532319840978334,0.43532319840978334,0.43532319840978334,0.0,10.927053160294276,-0.0121576387402438,-0.0121576387402438,-0.0121576387402438,,
Ni-Pt-O,1,O,0.3579671125039036,0.3579671125039036,0.3579671125039036,0.0,12.367586798737676,-0.0114029069414299,-0.0114029069414299,-0.0114029069414299,,
Mo-Ni-O,1,O,0.4439380297607934,0.4439380297607934,0.4439380297607934,0.0,12.117816040470212,-0.010807583790058,-0.010807583790058,-0.010807583790058,,
Cd-Ti-O,2,O,0.23946314363637136,0.3760244605951881,0.5125857775540049,0.2731226339176336,20.340059919458067,-0.0101620706826731,-0.00787639134908975,-0.0055907120155064,1.0,0.01673738496731581
Cr-Ti-S,1,S,0.627168204998711,0.627168204998711,0.627168204998711,0.0,15.189256828438591,-0.0096554737659261,-0.0096554737659261,-0.0096554737659261,,
Cr-Zr-O,1,O,0.5538131612936084,0.5538131612936084,0.5538131612936084,0.0,11.59110342365893,-0.0070968669439945,-0.0070968669439945,-0.0070968669439945,,
Co-Rh-O,1,O,0.16216786176112016,0.16216786176112016,0.16216786176112016,0.0,27.126996676147165,-0.0051857983706196,-0.0051857983706196,-0.0051857983706196,,
Mo-Ti-O,1,O,0.5425143777729979,0.5425143777729979,0.5425143777729979,0.0,11.45066244301333,-0.0040605100497516,-0.0040605100497516,-0.0040605100497516,,
Pd-Zn-O,1,O,0.38124086865143186,0.38124086865143186,0.38124086865143186,0.0,11.720729963431037,-0.0014537823365872,-0.0014537823365872,-0.0014537823365872,,
