chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Hf-O,HfO2_1244883_POSCAR,35,local_max_drop,16.4906920661,-0.50927263143579,-0.2595775049344718,-0.2496951265013182,13.742243,26.934797,0.01871808,mp-1244883,HfO2,Triclinic,P1,1,0.229321330343136,-3.790489710490195,False,3.7691,False,8.957833639278316,102,1326.6428294040993,13.006302249059797,845.1658242810619,0.6370711133008521,63.70711133008521
Hf-O,HfO2_1244885_POSCAR,35,local_max_drop,15.8250651942,-0.51248685383251,-0.2577785737240385,-0.2547082801084714,13.187554,25.847606,0.01935312,mp-1244885,HfO2,Triclinic,P1,1,0.254510453382351,-3.7653005874509793,False,3.4783,False,8.847975226452482,102,1343.114719871292,13.167791371287176,845.1658242810619,0.6292581056382529,62.925810563825294
Hf-O,HfO2_1245107_POSCAR,35,local_max_drop,16.3695302672,-0.51036404042911,-0.2634320112799398,-0.2469320291491701,13.641275,26.736899,0.01934733,mp-1245107,HfO2,Triclinic,P1,1,0.22711691504902,-3.792694125784312,False,3.7499,False,8.93962545120878,102,1329.3449294990103,13.032793426460884,845.1658242810619,0.6357761672883344,63.57761672883344
Hf-O,HfO2_1245112_POSCAR,35,local_max_drop,15.8236662236,-0.50844260805045,-0.2591031096871553,-0.2493394983632947,13.186389,25.845321,0.01947909,mp-1245112,HfO2,Triclinic,P1,1,0.209907856519606,-3.809903184313724,False,3.620099999999999,False,8.934776811162463,102,1330.066326344325,13.039865944552206,845.1658242810619,0.6354313371754868,63.543133717548685
Hf-O,HfO2_1245226_POSCAR,35,local_max_drop,16.1172993856,-0.50852208333587,-0.2576163183597331,-0.2509057649761369,13.431083,26.324922,0.01904392,mp-1245226,HfO2,Triclinic,P1,1,0.216772667499999,-3.803038373333333,False,3.401,False,8.793253202528755,102,1351.4731672508144,13.249736933831514,845.1658242810619,0.6253663370914793,62.53663370914793
Hf-O,HfO2_1858_POSCAR,35,local_max_drop,7.304741328,-0.15991149622255,-0.0775381241870223,-0.0823733720355276,6.297191,12.342494,0.01199251,mp-1858,HfO2,Orthorhombic,Pbca,61,0.01638392625,-4.003427114583332,False,4.2272,False,10.698913663127213,24,261.3535440977401,10.889731004072503,198.86254688966062,0.7608947779001255,76.08947779001255
Hf-O,HfO2_775757_POSCAR,35,local_max_drop,14.6359104575,-0.14417780614424,-0.0718719526775766,-0.0723058534666633,12.617164,24.729642,0.00545209,mp-775757,HfO2,Orthorhombic,Pbca,61,0.00992863875,-4.00988240208333,False,4.1083,False,10.2455682122362,24,272.91790420316113,11.37157934179838,198.86254688966062,0.7286533562914458,72.86533562914458
Hf-O,HfO2_776097_POSCAR,35,local_max_drop,7.21492713,-0.18525934251305,-0.1005239462467415,-0.0847353962663084,6.252937,11.784381,0.01686545,mp-776097,HfO2,Orthorhombic,Pbcn,60,0.039298047777778,-3.980512993055552,False,4.264,False,9.471347955396345,36,442.840715548976,12.301130987471556,298.293820334491,0.6735916772347939,67.35916772347939
Hf-S,Hf2S_10000_POSCAR,35,global_gradient_fallback,4.723983656,-0.085910314598284,-0.051608860657884,-0.0343014539403999,4.386556,8.266971,0.0125666,mp-10000,Hf2S,Hexagonal,P6_3/mmc,194,0.0,-1.171399257604169,True,0.0,True,11.182943515494184,6,115.5374557383108,19.2562426230518,99.49528653673994,0.8611517875388746,86.11517875388745
Mn-O,Mn15O32_776603_POSCAR,35,local_max_drop,8.051055353,-0.22983220301664,-0.1095861537996206,-0.1202460492170193,7.47598,14.089347,0.01335025,mp-776603,Mn15O32,Monoclinic,C2/m,12,0.13769114324468,-1.6072824010418212,False,0.0346,False,3.978051832994468,47,557.701549435355,11.865990413518192,207.27875213371158,0.37166608617740254,37.16660861774025
Mn-O,Mn15O32_867971_POSCAR,35,local_max_drop,11.5380823021,-0.2287999698797,-0.1103409478520734,-0.1184590220276265,10.713934,20.191644,0.0094523,mp-867971,Mn15O32,Monoclinic,C2/m,12,0.117386878563829,-1.6275866657226712,False,0.0,True,3.961701768714472,47,560.0031996690071,11.914961695085259,207.27875213371158,0.37013851395175024,37.013851395175024
Mn-O,Mn20O43_1222372_POSCAR,35,local_max_drop,10.7423062491,-0.32433194530912,-0.1644553585297515,-0.1598765867793684,9.974999,18.799036,0.01576289,mp-1222372,Mn20O43,Triclinic,P-1,2,0.1481496255291,-1.587591254501915,False,0.052,False,4.084623945045255,63,726.3688103431087,11.529663656239821,276.7730896545205,0.38103658322524,38.103658322524
