chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Ti-O,Ti3O5_1245135_POSCAR,mp-1245135,Ti3O5,Triclinic,P1,1,0.19723261076923,-3.18490112735577,False,0.066399999999999,False,3.925101746047003,104,1229.7290870682818,11.824318144887325,747.4110303398926,0.6077851115335876,60.778511153358764
Ti-O,Ti3O5_1245292_POSCAR,mp-1245292,Ti3O5,Triclinic,P1,1,0.201427904134614,-3.180705833990385,False,0.035099999999999,False,3.75868273683066,104,1284.176430759782,12.347850295767135,747.4110303398926,0.5820158448926581,58.20158448926581
Ti-O,Ti3O5_556480_POSCAR,mp-556480,Ti3O5,Monoclinic,C2/m,12,0.008188011249998,-3.373945726875001,False,0.0,True,4.027309286618516,16,184.38773241651583,11.52423327603224,114.98631235998307,0.6236115106629708,62.36115106629708
Ti-O,Ti3O5_556754_POSCAR,mp-556754,Ti3O5,Monoclinic,C2/c,15,0.001519018749998,-3.380614719375001,False,0.0,True,4.335937953421416,16,171.26315836782078,10.703947397988799,114.98631235998307,0.6714013303026195,67.14013303026195
Ti-O,Ti3O5_8057_POSCAR,mp-8057,Ti3O5,Orthorhombic,Cmcm,63,0.0,-3.382133738125,True,0.0,True,4.002186371332832,16,185.54518966642635,11.596574354151647,114.98631235998307,0.6197213334751808,61.972133347518074
Ti-O,Ti3O7_1105338_POSCAR,mp-1105338,Ti3O7,Monoclinic,C2/m,12,0.27150150325,-2.8857484035,False,0.0,True,2.987298169536054,20,284.1554124906167,14.207770624530834,119.80335407484417,0.42161207849173127,42.161207849173124
Ti-O,Ti3O7_1179358_POSCAR,mp-1179358,Ti3O7,Monoclinic,C2/m,12,0.24351378425,-2.913736122499999,False,0.158699999999999,False,1.400272754682558,20,606.2082841751187,30.310414208755937,119.80335407484417,0.19762737857972906,19.762737857972905
Ti-O,Ti3O7_1205462_POSCAR,mp-1205462,Ti3O7,Monoclinic,C2/m,12,0.46713666275,-2.690113244,False,2.3862,False,1.6808114067229392,20,505.02807142158184,25.25140357107909,119.80335407484417,0.23722117809731813,23.722117809731813
Ti-O,Ti4O3_1217135_POSCAR,mp-1217135,Ti4O3,Tetragonal,I4/mmm,139,0.099068487142856,-2.435004672619048,False,0.0,True,5.313966025182834,7,74.82979345030391,10.689970492900558,72.24192000136605,0.9654165362536178,96.54165362536177
Ti-O,Ti4O5_10734_POSCAR,mp-10734,Ti4O5,Tetragonal,I4/m,87,0.036609422222221,-3.091059832037038,False,0.0,True,4.967927931675921,9,90.73767649571904,10.081964055079894,74.6504408587966,0.8227061099841869,82.27061099841869
Ti-O,Ti4O7_12205_POSCAR,mp-12205,Ti4O7,Triclinic,P-1,2,0.007957332499998,-3.4085186912121213,False,0.0,True,4.329452258742414,44,465.56789613958483,10.581088548626928,308.23584686490824,0.6620642218261847,66.20642218261847
Ti-O,Ti4O7_778663_POSCAR,mp-778663,Ti4O7,Triclinic,P-1,2,0.09385985681818,-3.322616166893939,False,0.0,True,4.081721445489121,44,493.82448268605543,11.22328369741035,308.23584686490824,0.6241809745606851,62.41809745606851
Ti-O,Ti5O7_1045759_POSCAR,mp-1045759,Ti5O7,Orthorhombic,Cmcm,63,0.155007673333335,-3.08251806847222,False,0.0,True,4.209782158855519,24,277.1632816867964,11.548470070283182,188.43249279006423,0.6798609528768647,67.98609528768647
Ti-O,Ti5O8_759920_POSCAR,mp-759920,Ti5O8,Triclinic,P1,1,0.013142276923078,-3.338724498205128,False,0.0,True,4.459327275743663,39,410.35302586169263,10.521872457992119,286.26152047124214,0.6975981714040659,69.75981714040658
Ti-O,Ti5O9_748_POSCAR,mp-748,Ti5O9,Triclinic,P-1,2,0.010780146071427,-3.425320040833333,False,0.0,True,4.296741959530481,28,296.28671305334495,10.581668323333748,193.24953450492526,0.6522382745868582,65.22382745868582
Ti-O,Ti6O_554098_POSCAR,mp-554098,Ti6O,Trigonal,P-31c,163,0.0,-0.916695420714284,True,0.0,True,4.718230249800664,14,213.41805858064112,15.244147041474365,208.29593700309127,0.9759995868596357,97.59995868596357
